Step,Mode,Time,Sx:0.5,Sy:0.5
0,1,2.86,40.4464336,0.366542168
0,1,2.87,40.5878547,0.227193784
0,1,2.88,40.72927579,0.0868654
0,1,2.89,40.87069689,-0.054442984
1,1,0,40.87069689,0
1,1,0.01,40.99797588,0.126789454
1,1,0.02,41.12525486,0.252598909
1,1,0.03,41.25253385,0.377428363
1,1,0.04,41.37981284,0.501277817
1,1,0.05,41.50709182,0.624147272
1,1,0.06,41.63437081,0.746036726
1,1,0.07,41.7616498,0.866946181
1,1,0.08,41.88892878,0.986875635
1,1,0.09,42.01620777,1.105825089
1,1,0.1,42.14348676,1.223794544
1,1,0.11,42.27076574,1.340783998
1,1,0.12,42.39804473,1.456793452
1,1,0.13,42.52532372,1.571822907
1,1,0.14,42.65260271,1.685872361
1,1,0.15,42.77988169,1.798941816
1,1,0.16,42.90716068,1.91103127
1,1,0.17,43.03443967,2.022140724
1,1,0.18,43.16171865,2.132270179
1,1,0.19,43.28899764,2.241419633
1,1,0.2,43.41627663,2.349589087
1,1,0.21,43.54355561,2.456778542
1,1,0.22,43.6708346,2.562987996
1,1,0.23,43.79811359,2.668217451
1,1,0.24,43.92539257,2.772466905
1,1,0.25,44.05267156,2.875736359
1,1,0.26,44.17995055,2.978025814
1,1,0.27,44.30722953,3.079335268
1,1,0.28,44.43450852,3.179664722
1,1,0.29,44.56178751,3.279014177
1,1,0.3,44.68906649,3.377383631
1,1,0.31,44.81634548,3.474773086
1,1,0.32,44.94362447,3.57118254
1,1,0.33,45.07090346,3.666611994
1,1,0.34,45.19818244,3.761061449
1,1,0.35,45.32546143,3.854530903
1,1,0.36,45.45274042,3.947020357
1,1,0.37,45.5800194,4.038529812
1,1,0.38,45.70729839,4.129059266
1,1,0.39,45.83457738,4.218608721
1,1,0.4,45.96185636,4.307178175
1,1,0.41,46.08913535,4.394767629
1,1,0.42,46.21641434,4.481377084
1,1,0.43,46.34369332,4.567006538
1,1,0.44,46.47097231,4.651655992
1,1,0.45,46.5982513,4.735325447
1,1,0.46,46.72553028,4.818014901
1,1,0.47,46.85280927,4.899724356
1,1,0.48,46.98008826,4.98045381
1,1,0.49,47.10736724,5.060203264
1,1,0.5,47.23464623,5.138972719
1,1,0.51,47.36192522,5.216762173
1,1,0.52,47.48920421,5.293571627
1,1,0.53,47.61648319,5.369401082
1,1,0.54,47.74376218,5.444250536
1,1,0.55,47.87104117,5.518119991
1,1,0.56,47.99832015,5.591009445
1,1,0.57,48.12559914,5.662918899
1,1,0.58,48.25287813,5.733848354
1,1,0.59,48.38015711,5.803797808
1,1,0.6,48.5074361,5.872767262
1,1,0.61,48.63471509,5.940756717
1,1,0.62,48.76199407,6.007766171
1,1,0.63,48.88927306,6.073795626
1,1,0.64,49.01655205,6.13884508
1,1,0.65,49.14383103,6.202914534
1,1,0.66,49.27111002,6.266003989
1,1,0.67,49.39838901,6.328113443
1,1,0.68,49.525668,6.389242897
1,1,0.69,49.65294698,6.449392352
1,1,0.7,49.78022597,6.508561806
1,1,0.71,49.90750496,6.566751261
1,1,0.72,50.03478394,6.623960715
1,1,0.73,50.16206293,6.680190169
1,1,0.74,50.28934192,6.735439624
1,1,0.75,50.4166209,6.789709078
1,1,0.76,50.54389989,6.842998532
1,1,0.77,50.67117888,6.895307987
1,1,0.78,50.79845786,6.946637441
1,1,0.79,50.92573685,6.996986896
1,1,0.8,51.05301584,7.04635635
1,1,0.81,51.18029482,7.094745804
1,1,0.82,51.30757381,7.142155259
1,1,0.83,51.4348528,7.188584713
1,1,0.84,51.56213178,7.234034167
1,1,0.85,51.68941077,7.278503622
1,1,0.86,51.81668976,7.321993076
1,1,0.87,51.94396875,7.364502531
1,1,0.88,52.07124773,7.406031985
1,1,0.89,52.19852672,7.446581439
1,1,0.9,52.32580571,7.486150894
1,1,0.91,52.45308469,7.524740348
1,1,0.92,52.58036368,7.562349802
1,1,0.93,52.70764267,7.598979257
1,1,0.94,52.83492165,7.634628711
1,1,0.95,52.96220064,7.669298166
1,1,0.96,53.08947963,7.70298762
1,1,0.97,53.21675861,7.735697074
1,1,0.98,53.3440376,7.767426529
1,1,0.99,53.47131659,7.798175983
1,1,1,53.59859557,7.827945437
1,1,1.01,53.72587456,7.856734892
1,1,1.02,53.85315355,7.884544346
1,1,1.03,53.98043253,7.911373801
1,1,1.04,54.10771152,7.937223255
1,1,1.05,54.23499051,7.962092709
1,1,1.06,54.3622695,7.985982164
1,1,1.07,54.48954848,8.008891618
1,1,1.08,54.61682747,8.030821072
1,1,1.09,54.74410646,8.051770527
1,1,1.1,54.87138544,8.071739981
1,1,1.11,54.99866443,8.090729436
1,1,1.12,55.12594342,8.10873889
1,1,1.13,55.2532224,8.125768344
1,1,1.14,55.38050139,8.141817799
1,1,1.15,55.50778038,8.156887253
1,1,1.16,55.63505936,8.170976707
1,1,1.17,55.76233835,8.184086162
1,1,1.18,55.88961734,8.196215616
1,1,1.19,56.01689632,8.207365071
1,1,1.2,56.14417531,8.217534525
1,1,1.21,56.2714543,8.226723979
1,1,1.22,56.39873329,8.234933434
1,1,1.23,56.52601227,8.242162888
1,1,1.24,56.65329126,8.248412342
1,1,1.25,56.78057025,8.253681797
1,1,1.26,56.90784923,8.257971251
1,1,1.27,57.03512822,8.261280706
1,1,1.28,57.16240721,8.26361016
1,1,1.29,57.28968619,8.264959614
1,1,1.3,57.41696518,8.265329069
1,1,1.31,57.54424417,8.264718523
1,1,1.32,57.67152315,8.263127977
1,1,1.33,57.79880214,8.260557432
1,1,1.34,57.92608113,8.257006886
1,1,1.35,58.05336011,8.252476341
1,1,1.36,58.1806391,8.246965795
1,1,1.37,58.30791809,8.240475249
1,1,1.38,58.43519707,8.233004704
1,1,1.39,58.56247606,8.224554158
1,1,1.4,58.68975505,8.215123612
1,1,1.41,58.81703404,8.204713067
1,1,1.42,58.94431302,8.193322521
1,1,1.43,59.07159201,8.180951976
1,1,1.44,59.198871,8.16760143
1,1,1.45,59.32614998,8.153270884
1,1,1.46,59.45342897,8.137960339
1,1,1.47,59.58070796,8.121669793
1,1,1.48,59.70798694,8.104399247
1,1,1.49,59.83526593,8.086148702
1,1,1.5,59.96254492,8.066918156
1,1,1.51,60.0898239,8.046707611
1,1,1.52,60.21710289,8.025517065
1,1,1.53,60.34438188,8.003346519
1,1,1.54,60.47166086,7.980195974
1,1,1.55,60.59893985,7.956065428
1,1,1.56,60.72621884,7.930954882
1,1,1.57,60.85349782,7.904864337
1,1,1.58,60.98077681,7.877793791
1,1,1.59,61.1080558,7.849743246
1,1,1.6,61.23533479,7.8207127
1,1,1.61,61.36261377,7.790702154
1,1,1.62,61.48989276,7.759711609
1,1,1.63,61.61717175,7.727741063
1,1,1.64,61.74445073,7.694790517
1,1,1.65,61.87172972,7.660859972
1,1,1.66,61.99900871,7.625949426
1,1,1.67,62.12628769,7.590058881
1,1,1.68,62.25356668,7.553188335
1,1,1.69,62.38084567,7.515337789
1,1,1.7,62.50812465,7.476507244
1,1,1.71,62.63540364,7.436696698
1,1,1.72,62.76268263,7.395906152
1,1,1.73,62.88996161,7.354135607
1,1,1.74,63.0172406,7.311385061
1,1,1.75,63.14451959,7.267654516
1,1,1.76,63.27179858,7.22294397
1,1,1.77,63.39907756,7.177253424
1,1,1.78,63.52635655,7.130582879
1,1,1.79,63.65363554,7.082932333
1,1,1.8,63.78091452,7.034301787
1,1,1.81,63.90819351,6.984691242
1,1,1.82,64.0354725,6.934100696
1,1,1.83,64.16275148,6.882530151
1,1,1.84,64.29003047,6.829979605
1,1,1.85,64.41730946,6.776449059
1,1,1.86,64.54458844,6.721938514
1,1,1.87,64.67186743,6.666447968
1,1,1.88,64.79914642,6.609977422
1,1,1.89,64.9264254,6.552526877
1,1,1.9,65.05370439,6.494096331
1,1,1.91,65.18098338,6.434685786
1,1,1.92,65.30826236,6.37429524
1,1,1.93,65.43554135,6.312924694
1,1,1.94,65.56282034,6.250574149
1,1,1.95,65.69009933,6.187243603
1,1,1.96,65.81737831,6.122933057
1,1,1.97,65.9446573,6.057642512
1,1,1.98,66.07193629,5.991371966
