Time,x:1,v:1,Mode,Step
8.993,0.103356236,6.349055031,9,8
9.093,0.689261739,5.369055031,9,8
9.193,1.177167242,4.389055031,9,8
9.293,1.567072746,3.409055031,9,8
9.393,1.858978249,2.429055031,9,8
9.493,2.052883752,1.449055031,9,8
9.593,2.148789255,0.469055031,9,8
9.693,2.146694758,-0.510944969,9,8
9.793,2.046600261,-1.490944969,9,8
9.893,1.848505764,-2.470944969,9,8
9.993,1.552411267,-3.450944969,9,8
10.093,1.158316771,-4.430944969,9,8
10.193,0.666222274,-5.410944969,9,8
10.293,0.076127777,-6.390944969,9,8
10.3137,-0.058044508,-6.538518288,10,9
10.3237,-0.123458008,-6.537936339,10,9
10.3337,-0.18867918,-6.500149607,10,9
10.3437,-0.253345992,-6.425643708,10,9
10.3537,-0.31709797,-6.315114873,10,9
10.3637,-0.379564718,-6.169440081,10,9
10.3737,-0.440393016,-5.989681712,10,9
10.3837,-0.499247385,-5.777087788,10,9
10.3937,-0.555810089,-5.533091982,10,9
10.4037,-0.609781134,-5.259313608,10,9
10.4137,-0.660878269,-4.957557627,10,9
10.4237,-0.708841726,-4.62976569,10,9
10.4337,-0.753433196,-4.277886252,10,9
10.4437,-0.794403115,-3.90416315,10,9
10.4537,-0.831528354,-3.510923571,10,9
10.4637,-0.864615887,-3.100550234,10,9
10.4737,-0.893502791,-2.675481397,10,9
10.4837,-0.91805625,-2.23821085,10,9
10.4937,-0.938173549,-1.791287921,10,9
10.5037,-0.953782079,-1.337317472,10,9
10.5137,-0.964839335,-0.878959903,10,9
10.5237,-0.971328712,-0.41885622,10,9
10.5337,-0.973235411,0.040534626,10,9
10.5437,-0.970571211,0.496464988,10,9
10.5537,-0.96337618,0.946255879,10,9
10.5637,-0.951717341,1.387341689,10,9
10.5737,-0.935688676,1.817270187,10,9
10.5837,-0.915411124,2.233702522,10,9
10.5937,-0.891032578,2.63441322,10,9
10.6037,-0.862727891,3.017290187,10,9
10.6137,-0.83069887,3.380334706,10,9
10.6237,-0.79516469,3.721688521,10,9
10.6337,-0.756330003,4.039619564,10,9
10.6437,-0.714443938,4.332346532,10,9
10.6537,-0.669770408,4.598276262,10,9
10.6637,-0.622583251,4.836025705,10,9
10.6737,-0.573166231,5.044421931,10,9
10.6837,-0.521813039,5.222502122,10,9
10.6937,-0.468827291,5.369513579,10,9
10.7037,-0.414522532,5.484913717,10,9
10.7137,-0.359222228,5.568370068,10,9
10.7237,-0.303245653,5.619718611,10,9
10.7337,-0.246897858,5.63881806,10,9
10.7437,-0.190519845,5.625721546,10,9
10.7537,-0.134444192,5.580678112,10,9
10.7637,-0.07899248,5.504128804,10,9
10.7737,-0.024475294,5.396706671,10,9
