2018-02-05 22:17:54,903 INFO  [algorithm] Quasi-random sample: Kd:[-0.109037,-0.109037]; Ki:[-1.00788e-06,-1.00788e-06]; Kp:[0.000624788,0.000624788]; 
2018-02-05 22:17:54,903 INFO  [algorithm] The sample is outside the domain
2018-02-05 22:17:54,903 INFO  [algorithm] Probability: [-inf,-inf]

2018-02-05 22:17:54,903 INFO  [algorithm] Quasi-random sample: Kd:[-0.0634398,-0.0634398]; Ki:[-4.72515e-07,-4.72515e-07]; Kp:[-8.82492e-05,-8.82492e-05]; 
2018-02-05 22:17:54,903 INFO  [algorithm] The sample is inside the domain
2018-02-05 22:17:54,903 INFO  [algorithm] Bayesian estimations algorithm started
2018-02-05 22:44:15,641 INFO  [algorithm] Random sample size: 317
2018-02-05 22:44:15,641 INFO  [algorithm] Bayesian estimations algorithm finished
2018-02-05 22:44:15,641 INFO  [algorithm] Probability: [0,0.118966]

2018-02-05 22:44:15,641 INFO  [algorithm] Quasi-random sample: Kd:[-0.002174,-0.002174]; Ki:[-1.33258e-06,-1.33258e-06]; Kp:[-3.83842e-05,-3.83842e-05]; 
2018-02-05 22:44:15,641 INFO  [algorithm] The sample is outside the domain
2018-02-05 22:44:15,641 INFO  [algorithm] Probability: [-inf,-inf]

2018-02-05 22:44:15,641 INFO  [algorithm] Quasi-random sample: Kd:[-0.0657781,-0.0657781]; Ki:[-4.84157e-07,-4.84157e-07]; Kp:[-0.000932044,-0.000932044]; 
2018-02-05 22:44:15,641 INFO  [algorithm] The sample is inside the domain
2018-02-05 22:44:15,641 INFO  [algorithm] Bayesian estimations algorithm started
2018-02-05 23:10:10,580 INFO  [algorithm] Random sample size: 283
2018-02-05 23:10:10,580 INFO  [algorithm] Bayesian estimations algorithm finished
2018-02-05 23:10:10,580 INFO  [algorithm] Probability: [0,0.0780702]

2018-02-05 23:10:10,580 INFO  [algorithm] Quasi-random sample: Kd:[-0.0514523,-0.0514523]; Ki:[-5.43707e-07,-5.43707e-07]; Kp:[-0.0001961,-0.0001961]; 
2018-02-05 23:10:10,580 INFO  [algorithm] The sample is inside the domain
2018-02-05 23:10:10,580 INFO  [algorithm] Bayesian estimations algorithm started
2018-02-06 00:31:36,333 INFO  [algorithm] Random sample size: 567
2018-02-06 00:31:36,333 INFO  [algorithm] Bayesian estimations algorithm finished
2018-02-06 00:31:36,333 INFO  [algorithm] Probability: [0.229438,0.403251]

2018-02-06 00:31:36,333 INFO  [algorithm] Quasi-random sample: Kd:[-0.146415,-0.146415]; Ki:[-9.06315e-07,-9.06315e-07]; Kp:[-0.000694875,-0.000694875]; 
2018-02-06 00:31:36,333 INFO  [algorithm] The sample is outside the domain
2018-02-06 00:31:36,333 INFO  [algorithm] Probability: [-inf,-inf]

2018-02-06 00:31:36,333 INFO  [algorithm] Quasi-random sample: Kd:[-0.0656197,-0.0656197]; Ki:[2.59678e-07,2.59678e-07]; Kp:[-0.000724344,-0.000724344]; 
2018-02-06 00:31:36,333 INFO  [algorithm] The sample is outside the domain
2018-02-06 00:31:36,333 INFO  [algorithm] Probability: [-inf,-inf]

2018-02-06 00:31:36,338 INFO  [algorithm] Quasi-random sample: Kd:[-0.110313,-0.110313]; Ki:[-1.6902e-07,-1.6902e-07]; Kp:[-0.000955813,-0.000955813]; 
2018-02-06 00:31:36,338 INFO  [algorithm] The sample is outside the domain
2018-02-06 00:31:36,338 INFO  [algorithm] Probability: [-inf,-inf]

